id,month,type,content
1,1,regular,Сегодня ваша цель — заменить первую утреннюю сигарету на стакан воды.
2,1,regular,"Уберите все предметы, напоминающие о курении (пепельницы, зажигалки) с видных мест."
3,1,regular,При сильной тяге попробуйте дыхание по квадрату: вдох (4 сек) — задержка (4 сек) — выдох (4 сек) — задержка (4 сек). Повторите 5 раз.
4,1,regular,Купите себе что-нибудь приятное на сэкономленные за день деньги.
5,1,regular,Почистите зубы сразу после еды — это помогает снизить желание закурить.
6,1,regular,Замените привычный перекур на короткую прогулку вокруг дома или офиса.
7,1,regular,"Держите руки занятыми: возьмите в руки карандаш, эспандер или четки."
8,1,regular,Пейте больше воды в течение дня — это помогает снизить тягу.
9,1,regular,"При появлении сильного желания закурить скажите себе: ""Я подожду 10 минут и посмотрю, останется ли желание таким же сильным""."
10,1,regular,"Вспомните три главные причины, почему вы решили бросить курить. Запишите их и держите под рукой."
11,1,regular,"Используйте технику глубокого дыхания: медленный вдох через нос на 4 счета, задержка на 7 счетов, выдох через рот на 8 счетов."
12,1,regular,Найдите замену ритуалу: вместо утренней сигареты — теплый душ или травяной чай.
13,1,regular,Позвоните близкому человеку и расскажите о своем прогрессе — поддержка очень важна.
14,1,regular,Сделайте 10-минутную зарядку или просто потанцуйте под любимую музыку.
15,1,regular,"Ведите дневник: записывайте, сколько дней вы уже не курите и как себя чувствуете."
16,1,regular,"При сильном стрессе попробуйте технику прогрессивной мышечной релаксации: напрягайте и расслабляйте мышцы по очереди, начиная с ног."
17,1,regular,"Используйте ароматерапию: запахи лаванды, мяты или цитрусовых помогают снизить тревожность и тягу."
18,1,regular,"Перекусывайте полезными продуктами: морковные палочки, яблоки, орехи — они занимают руки и рот, не добавляя лишних калорий."
19,1,regular,Помните: каждый прожитый без сигареты день делает ваше сердце сильнее.
20,1,regular,"Используйте метод ""5-4-3-2-1"": найдите 5 вещей, которые вы видите; 4, которые можете потрогать; 3, которые слышите; 2, которые можете понюхать; и 1, которую можете попробовать на вкус. Это быстро возвращает в настоящий момент."
21,1,regular,Вечером составьте список дел на завтра — это структурирует день и отвлекает от мыслей о курении.
22,1,regular,"В моменты тяги попробуйте прополоскать рот ополаскивателем с мятным вкусом — это создает ощущение свежести, несовместимое с желанием курить."
23,1,regular,"Если вы обычно курили в машине, перед поездкой положите в салон что-то с приятным запахом и включите любимую музыку."
24,1,regular,"Используйте ""правило 4-х секунд"": если вам предложили сигарету, сделайте паузу в 4 секунды, прежде чем ответить. Этого времени достаточно, чтобы включилось осознанное решение."
25,1,regular,"Вечером, вместо того чтобы думать о сигарете, примите теплую ванну с солью — это расслабляет мышцы и снимает напряжение."
26,1,regular,Замените кофе на травяной чай на 2-3 недели — у многих кофе является сильным триггером курения.
27,1,regular,"Каждое утро напоминайте себе: ""Я делаю это для своего сердца, для своих близких, для себя""."
28,1,regular,"Если тянет закурить ""за компанию"", скажите: ""Я не курю"". Коротко и уверенно, без объяснений."
29,1,regular,"Держите на рабочем столе бутылку с водой и делайте глоток каждый раз, когда возникает желание курить."
30,1,regular,Вечером вместо перекура — 5 минут наблюдения за звездами или просто из окна. Это успокаивает нервную систему.
31,1,regular,"Если вы обычно курили после еды, встаньте из-за стола и сразу помойте посуду или почистите зубы — это прерывает старый ритуал."
32,1,high_dependence,"Напоминание: ваша тяга — это временное ощущение. Она пройдет, а ваше решение останется."
33,1,high_dependence,Сейчас самое время сделать 3 глубоких вдоха и выпить стакан воды.
34,1,high_dependence,Помните о своей главной цели: здоровое сердце и долгая жизнь.
35,1,high_dependence,"Если тяга особенно сильная, используйте кнопку ""Тяга/SOS"" — выберите технику, которая вам подходит."
36,1,high_dependence,"Вы сильнее своей привычки. Каждый раз, когда вы говорите ""нет"" сигарете, вы укрепляете свою силу воли."
37,1,high_dependence,"Представьте, как ваше сердце благодарит вас за каждый час без никотина."
38,1,high_dependence,Сделайте мини-разминку: 10 приседаний или 2 минуты ходьбы на месте.
